name,quadrant,ring,isNew,description
Java,Hold,languages-and-frameworks,TRUE,"<p>Java languague is not used within PwC Sweden, we do not have devlopers or the skill to use this languague.</p>"
Visual Basic,Hold,languages-and-frameworks,TRUE,"<p>Visual Basic as a languague should not be used within PwC Sweden, any applications written in this langugue should be phased out and written in a new modern programming languague.</p>"
Microsoft Office VBA,Hold,languages-and-frameworks,TRUE,<p>Building applications and business logic inside microsoft excel or similar shall not be used. Google sheet and appscripts is better suited for this types of work as its cloudbased and we have some applications using it ex: flow of data.</p>
Dialogflow,Hold,languages-and-frameworks,TRUE,"<p>We are unsure if this is used in PwC Sweden it was stated to be on hold link here <a href=""https://cloud.google.com/dialogflow/docs/"">Dialogflow</a></p>"
.NET framework,Hold,languages-and-frameworks,TRUE,<p>We should avoid writing applications in .NET framework all applications shall be written in .NET core.</p>
Blazor Webassembly,Assess,languages-and-frameworks,TRUE,"<p>We should assess the possibilities of using the <a href=""https://dotnet.microsoft.com/apps/aspnet/web-apps/blazor"">Blazor framework</a> for frontend applications and compare it towards Angula and React..</p>"
Microservices,Adopt,Techniques,TRUE,"<p>We shall use the teqniue of using microservices as much as we can, lean on infromation from <a href=""https://docs.microsoft.com/en-us/azure/architecture/microservices/"">Microsoft</a> in doing so </p>"
C4 Model,Adopt,Techniques,TRUE,"<p>We shall use the <a href=""https://c4model.com"">C4 modeling techniqe</a> for documenting our software architecture</p>"
Azure duarable functions,Assess,Techniques,TRUE,"<p>We should trial the use of <a href=""https://docs.microsoft.com/en-us/azure/azure-functions/durable/durable-functions-overview?tabs=csharp"">Azure durable functions</a> for writing stateful functions in a Azure serverless environment</p>"
OpenAi,Assess,Platforms,TRUE,"<p>Can be limited assessed, only use with test data with no PwC affiliation</p>"
MS SQL Server 2019,Assess,Platforms,TRUE,"<p>MS SQL 2019 supports more languages, encodings, platforms etc. Read full compairison at <a href=""https://www.microsoft.com/en-us/sql-server/sql-server-2019-comparison></p"
AWS,Hold,Platforms,TRUE,"<p>Amazon Web Services is put on hold, default cloud provider is Microsoft Azure</p>"
Windows Server 2008r2,Hold,Platforms,TRUE,<p>Microsoft Windows Server 2008r2 is put on hold</p>
IBM Notes,Hold,Platforms,TRUE,<p>IBM Lotus Notes is put on hold</p>
SCCM,Hold,Platforms,TRUE,<p>Microsoft System Center Configuration Manager is put on hold</p>
Windows Server 2012r2,Hold,Platforms,TRUE,<p>Microsoft Windows Server 2012r2 is put on hold</p>
Citrix VDI,Hold,Platforms,TRUE,<p> Citrix Virtual desktop infrastructure (VDI) is put on hold</p>
SAP,Hold,Platforms,TRUE,<p>SAP Data and Application platform is put on hold waiting on EM-FI</p>
Sql server 2008,Hold,Platforms,TRUE,"<p>Microsoft SQL server 2008 put on hold, version due date passed</p>"
Sql server 2012,Hold,Platforms,TRUE,"<p>Microsoft SQL server 2012 put on hold, version due date passed</p>"
Sql server 2014,Hold,Platforms,TRUE,"<p>Microsoft SQL server 2014 put on hold, version due date passed</p>"
Sql server 2016 without sp2,Hold,Platforms,TRUE,"<p>Microsoft SQL server 2016sp2 put on hold, version due date passed</p>"
Application Virtualisation (Citrix),Hold,Platforms,TRUE,<p>Application Virtualisation (Citrix)</p>
Oracle db,Hold,Platforms,TRUE,<p>Orcale DB</p>
Blueprism,Adopt,Tools,TRUE,"<p>Enterprise robotic process automation (RPA) software that provides a digital workforce designed to automate complex, end-to-end operational activities. We shall use this tool to work with automation of workflows via RPA<a href=""https://www.blueprism.com/nordics/"">BluePrism</a> </p>"
PowerBI Desktop and embedded,Adopt,Tools,TRUE,"<p>Power BI is a collection of software services, apps, and connectors that work together to turn your unrelated sources of data into coherent, visually immersive, and interactive insights. We shall use this tool to work with visualisations of our data layer for end users, embedded within applications<a href=""https://docs.microsoft.com/sv-se/power-bi/fundamentals/power-bi-overview"">What is Power BI?</a></p>"
Google Workspace,Adopt,Tools,TRUE,"<p>Google Workspace comprises Gmail, Chat, Meet, Calendar; Drive for storage; Docs, Sheets, Slides, Forms, and Sites for collaboration; and an Admin panel and Vault for managing users and the services. <a href=""https://workspace.google.se/intl/en/"">Google Workspace</a> </p>"
VMWare tools version?,Adopt,Tools,TRUE,"<p>VMware Tools is a set of services and modules that enable several features in VMware products for better management of, and seamless user interactions with, guests operating systems. <a href=""https://docs.vmware.com/en/VMware-vSphere/6.7/com.vmware.vsphere.html.hostclient.doc/GUID-28C39A00-743B-4222-B697-6632E94A8E72.html"">Introduction to VMware Tools</a> </p>"
Flexera,Adopt,Tools,TRUE,"<p>Flexera Software is a global leader in Software Asset Management and Software License Optimization solutions, enabling enterprises to gain visibility and control of IT assets, reduce ongoing software costs and maintain continuous license compliance. <a href=""https://www.flexera.com/"">Flexera</a> </p>"
Global Protect,Adopt,Tools,TRUE,"<p>GlobalProtect is a program that runs on your endpoint (desktop computer, laptop, tablet, or smart phone) to protect you by using the same security policies that protect the sensitive resources in your corporate network. GlobalProtect secures your intranet traffic and allows you to connect to your corporate network to access your company’s resources from anywhere in the world. <a href=""https://www.paloaltonetworks.com/products/globalprotect"">GlobalProtect</a> </p>"
Azure Logic Apps,Adopt,Tools,TRUE,"<p>Azure Logic Apps is a cloud service that helps you schedule, automate, and orchestrate tasks, business processes, and workflows when you need to integrate apps, data, systems, and services across enterprises or organizations. <a href=""https://docs.microsoft.com/sv-se/azure/logic-apps/logic-apps-overview"">What is Azure Logic Apps?</a> </p>"
Swagger,Adopt,Tools,TRUE,"<p>Swagger allows you to describe the structure of your APIs so that machines can read them. <a href=""https://swagger.io/"">Swagger</a> </p>"
Web browser Chrome v.87,Adopt,Tools,TRUE,"<p>Google Chrome is a cross-platform web browser developed by Google. <a href=""https://www.google.com/intl/sv/chrome/"">Chrome webbrowser</a> </p>"
Splunk,Adopt,Tools,TRUE,"<p>SPLUNK is a software platform widely used for monitoring, searching, analyzing and visualizing the machine-generated data in real time. It performs capturing, indexing, and correlating the real time data in a searchable container and produces graphs, alerts, dashboards and visualizations. <a href=""https://www.splunk.com/"">Splunk</a> </p>"
Google Chat,Adopt,Tools,TRUE,"<p>Instant messaging platform with video, chat rooms and other capabilities<a href=""https://workspace.google.com/products/chat/"">Google Chat</a> </p>"
Azure Service Bus,Adopt,Tools,TRUE,"<p>Microsoft Azure Service Bus is a fully managed enterprise message broker with message queues and publish-subscribe topics. Service Bus is used to decouple applications and services from each other. <a href=""https://docs.microsoft.com/sv-se/azure/////service-bus-messaging/service-bus-messaging-overview"">What is Azure Service Bus?</a> </p>"
Qualys,Adopt,Tools,TRUE,"<p>Qualys is a commercial vulnerability and web application scanner. It can be used to proactively locate, identify, and assess vulnerabilities so that they can be prioritized and corrected before they are targeted and exploited by attackers. <a href=""https://www.qualys.com/"">Qualys</a> </p>"
Windows Defender Antivirus,Adopt,Tools,TRUE,"<p>Microsoft Defender Antivirus still delivers the comprehensive, ongoing, and real-time protection you expect against software threats like viruses, malware, and spyware across email, apps, the cloud, and the web. <a href=""https://www.microsoft.com/en-us/windows/comprehensive-security"">Microsoft Defender Antivirus</a> </p>"
Cosmos DB,Adopt,Tools,TRUE,"<p>Azure Cosmos DB is a fully managed NoSQL database for modern app development. Single-digit millisecond response times, and automatic and instant scalability, guarantee speed at any scale. <a href=""https://docs.microsoft.com/sv-se/azure/cosmos-db/introduction"">Azure Cosmos DB</a> </p>"
